Name,Age
Donovan Peoples-Jones,21.5
Henry Ruggs III,21.6
Chase Claypool,22.2
Denzel Mims,22.9
Jalen Reagor,21.7
Brandon Aiyuk,22.5
Tyrie Cleveland,22.9
Joe Reed,
Michael Pittman,22.9
Dezmon Patmon,22.1
Antonio Gibson,22.2
Justin Jefferson,21.2
K.J. Osborn,23.2
John Hightower,
Marquez Callaway,22.4
Isaiah Hodgins,21.9
Chris Finke,24.3
Ceedee Lamb,21.4
Freddie Swain,22.1
Devin Duvernay,
Darnell Mooney,22.8
Juwan Johnson,24
Kendrick Rogers,23.1
Ben Victor,23.6
Antonio Gandy-Golden,22.4
Kalija Lipscomb,22.9
Jeff Thomas,
Quartney Davis,22.4
Quez Watkins,22.2
Quintez Cephus,22.4
Trishton Jackson,22.5
Gabriel Davis,21.4
Omar Bayless,23.7
Cody White,21.8
Stephen Guidry,
Isaiah Coulter,
Tony Brown,23.1
Jerry Jeudy,21.4
K.J. Hill,23
Aaron Fuller,
Austin Mack,23
Jauan Jennings,23.1
Aaron Parker,22.3
Bryan Edwards,21.8
Collin Johnson,22.9
Darrell Stewart,24.1
James Proche',23.9
K.J. Hamler,21.2
Laviska Shenault Jr,21.9
Lawrence Cager,23
Lynn Bowden,22.9
Tee Higgins,21.6
Tyler Johnson,22
Van Jefferson,24.1